"scene_id","instance_token","distance_ahead","lateral_offset","forward_velocity","side_velocity","vehicle_type","lateral_pos_5s"
0,"b3bd430657754a16b32c7674507dba80",25.8551914672659,6.85016144066222,0,0,"truck",4.60648018660455
1,"25cce95097a544fc8bd3fb90205a79c8",2.61290476032943,-3.78563760487395,0,0,"car",-31.788222706803
3,"33ae6abe79c54c169264744932ebb551",34.141092378164,4.9801268298855,0,0,"car",40.2385280228624
3,"c5e055572b08482b8632fb2b64c55c54",36.9937156268563,-4.19377108158718,0,0,"car",-4.81969923703236
3,"6feab41a49d74fff99cf0b2f64cdb267",34.9100589783055,-5.60862003048382,0,0,"car",-4.77794036162165
4,"c967bb082dd945bfa993ce4ae9100804",25.1573720069836,-4.35792375204264,0,0,"car",-5.52564755421462
4,"4ca1be07174c483ea2555577b9af65eb",9.85601001511459,3.3571722639799,0,0,"car",2.91209777876588
6,"66617597e93349e998f677582d2e0017",0.98659496766617,-3.67987841737954,3.50063685879459,0.244376396463632,"car",-2.88224844130624
8,"02819ed37fd2442a9f943e9a14d3fc19",38.0284571577023,-4.51272407859452,0,0,"car",-4.27936540820906
10,"1e33e49bbc8a4f368892118eb603166f",33.3252508646403,7.16474243886277,3.04554652015791,2.24150169020344,"car",1.0512423427438
17,"7e07b88b6529498883eef8e316bbd79a",24.7039101928236,-5.96647752634116,0,0,"car",-13.3059960077199
17,"fe03ef905d584c4889ac7126803fbc58",31.5606971201045,6.66748017388986,0,0,"car",-4.9557720695129
17,"be2887d4ce794067bd7b8c40b29439cb",18.9606143994943,-6.72491288319869,0,0,"car",-12.3281368675078
22,"46d5f615d1c348baace805769dc3724b",10.6400875408142,3.18302252763133,0,0,"car",1.83679059177472
25,"cdbe22c7e3ca471f95af977f950c623f",21.9600555120652,3.61401241974121,0,0,"car",3.37271797936028
25,"d16975f8ff2543f3830974a0fa192455",34.9465860469713,-4.91774271495676,0,0,"car",-6.62252465668228
28,"6c245e7d868c4be5a9c23c816701b103",0.097818548002208,-3.50320442001078,0.983763246555364,0.00895446462418066,"car",-3.51510249211637
36,"42d6c29a6b674264b1ae7ad8c3bda4a7",22.9290731944347,5.7664575877924,0,0,"car",-0.520650527502723
36,"a012466762224684b8402cfbaa9dbda2",34.2559053993702,4.03204049651735,0,0,"truck",0.342339863358368
37,"f81b3d5420b646e2a007ca2b3a26317e",23.4643744221065,-7.27092932269602,0,0,"car",-7.14951003132763
37,"9621acf194fc4fea80b630e6e4050313",15.0180740696384,-7.92272985908915,0,0,"car",-7.641579002628
37,"9fdb6e0712f84c498eef4da3ef43a7d9",30.6616326999611,-7.77722110749894,0,0,"car",-7.7520976559588
37,"b2a662e3fcc64ab1a55fda58be60ecac",1.57711782945075,-7.822209989525,0,0,"car",-7.76432164949607
37,"470870f431b1421e9dc5aa17ada537da",38.9109050357587,-7.40275100896077,0,0,"car",-7.4643673369131
39,"adeac5d0524f40359579085ca5e475c9",27.6312101054098,3.40363441863158,0,0,"car",3.59750416230397
42,"2aa47cfa390b4e7a8d2e5030ef8f8180",14.7711784197389,5.07586438547457,0,0,"car",5.15071653379231
42,"3e7b352a36ec42019548650d9b3f3b34",11.8659991994247,4.38481542320614,0,0,"car",4.75122960700674
42,"262064d9d277460b973ed90a824758f5",35.3986219425583,-3.90697536612216,0,0,"car",-4.50616023736765
48,"82f28f9ea05247cd806868f01c8c5dbb",38.0508609153439,3.01039130268672,0,0,"car",3.84675007021249
49,"6acb252373f9401da392c6e6a8aa8160",28.3415021922148,-5.3228364076223,0,0,"car",-4.50915099275319
49,"b1f877e591f3424bb327f12ae6835193",21.4574209126954,-7.16468753278458,0,0,"car",-3.86848879772702
50,"e49e5cacb37e495689617129611fa4dc",30.7006436485563,-3.39362565596706,0,0,"car",-3.91972811590457
50,"100a14e98ed245eb9c5c695e692c17f9",2.188836871773,-3.37980994720519,4.43525952144485,-0.342523702285106,"car",-4.24583371764345
51,"162e5d2baa604190b9ea35f4b1f642fe",22.0651659173554,-6.07139407048333,0,0,"car",-20.8769307412883
51,"3279231becd3420799230fb21363dc99",11.4432503267417,4.95452935971929,0,0,"truck",-4.50655300516888
58,"bc38961ca0ac4b14ab90e547ba79fbb6",35.9553033425437,-5.90324794190991,0,0,"car",-10.4458506620901
58,"e91afa15647c4c4994f19aeb302c7179",16.192983716877,4.52942334825821,0,0,"truck",5.77593622154895
60,"d8a323f9e69a45bba45e547989d2e35e",34.7551303231993,5.0879934367385,0,0,"car",5.24793298366497
60,"d8c520d0e13146558644d1816e97971a",25.6362990236026,-6.90472016796834,1.28994914370124,3.2865261935805,"car",2.31960654031372
61,"a03780b93bd64c439ecc4e849b3badde",23.7152130749796,-6.24483167386507,0,0,"car",-6.06251726540459
61,"2d6ca7bf29ec4c00a2433ff6a44f8f52",29.0369112997986,-5.68314869096954,0,0,"car",-6.36891374400581
61,"e844715eec9d4718b126310f7af21603",39.7548645322818,-4.203998533303,0,0,"car",-6.0277696261177
61,"92da6ed7785f424e94599c82e4053e36",26.4592148475369,-5.97031937477462,0,0,"car",-6.42513502051463
61,"d6de6a3557e841e3a1edd1071813b2e4",32.4141606063966,-4.80170023726121,0,0,"car",-6.27020930209361
61,"d38d87777a3045b983d46397b7c86f3d",27.7623535291349,-4.16299158348362,0,0,"car",-6.46845932390339
61,"854abf20b5624665b8696256c3a69c28",34.8541946351498,-5.08754806068265,0,0,"car",-6.63666662218828
61,"28fcab395dd64bff9fd5dfefe0793aa9",34.4761987910141,-6.04470400426716,0,0,"car",-6.30595485422316
61,"93102b595a5549699f0ce25704145797",23.5907720265185,-6.38639548316527,0,0,"car",-6.66137428499099
61,"2f07382138d7473faa81039c1478fe92",19.055287512204,-6.60009810370733,0,0,"car",-6.64299781916355
62,"ac50e3c953504a9cadd6f2b0d0030a75",34.2344735919928,7.1247922736558,0,0,"car",7.78430397235602
63,"979fb9c9b33a4262a6f57b7b4db68ea9",38.0770678661533,-4.81663749599748,0,0,"car",3.77767875799395
64,"ddee9e856b394d609136309ec843b69c",13.0499220319999,7.33539794824281,0,0,"truck",5.03513212865598
64,"21945813d7694908a980bd5253dce209",7.17387283326657,7.57132051003327,-0.848912788775028,0.281231688436289,"trailer",5.53468558110086
64,"19d9792dc9bf4bccad644a242a958cf4",31.1083573057587,7.0028664533582,-0.992726395504612,-0.0898768709916498,"truck",7.55104799139415
64,"7a103d0a835c4496aed7e84c096c3b8c",20.9235162634898,-4.16359568721506,6.87111491438822,-2.83365951789978,"car",-1.03648260097447
64,"7ba7709828f2475d966ffcfef096b659",36.3386574418837,-7.26348146024732,0,0,"car",-7.24406959343415
67,"fffe5bf04ad640f7bbea60798e25f263",36.6226801254025,-4.16787701077662,0,0,"car",-2.61389331338515
68,"bfa5ab0e522d44a3ba2869779f521c5c",10.1883855390179,-7.02030340914751,0,0,"trailer",-4.99204416210261
68,"edad9425b9384b0ab4ac52d5defe77ea",19.8495286197862,-6.05471682068173,0,0,"trailer",-5.07007509667003
68,"cbbc0dcf78f64d39ad57542f3edb5938",37.3409032861753,6.30822129625826,0,0,"car",10.770299005118
69,"6fdde5569e504854bd4b86e33b25d202",2.47507949311167,-7.41685497595176,0,0,"car",-7.51282172257769
70,"3f3fbfccf1da4ea0bf2264949aabfa4c",24.2990815163101,5.38930241343334,0,0,"truck",5.53149099185854
70,"74a170bbc11842138df9a0af6da4e0ed",32.745865047243,5.50221725443569,0,0,"trailer",5.67810664942285
71,"86b5f7c54bc447e3b56f2d5b9f80a4e0",26.3387550587897,-6.43175065632373,0,0,"truck",-37.1399007871825
71,"22a970a759c64ff2b8f6fe4033500bd3",37.7348500745862,3.67624496277992,0,0,"car",-22.4867764547268
75,"1617dd3a8bd34d299354399ddc27646b",34.9341383846172,-6.38390566123895,0,0,"car",16.7806454922938
75,"0e2146cb74c74ec38b747efbe23c1a02",8.0701929124773,4.22480215399537,0,0,"car",-11.3214758967143
77,"69e4bc1869a740b6876bfc37a5ec60cc",14.1020734273695,3.5485289545226,0,0,"car",3.55297735802607
77,"7fa93ac758c24737bfba00b54d89c03d",24.7695170595562,3.13200240299394,0,0,"car",3.10113287024819
77,"62a167c66baf4e71a96e745beb208d8c",11.0713218508335,-5.24691683747076,0,0,"car",-5.21049368634664
77,"2e84f512b4704c5e8d90da761456e972",0.892442709565147,-3.40112782412868,2.78557681939961,-0.292132925688745,"car",-3.68731763929368
78,"f5b757fbea0147b9ba114de0db7687c5",6.32373752527454,-4.12045638359046,0,0,"truck",-20.2362362917423
78,"9118e4be2f434a1682fee8ce09b10820",19.7958325813191,3.71459087822416,0,0,"car",4.35624389595555
78,"9a76634f2c5d42e4bbf6ef2dcb995858",29.179726989264,3.67625963012469,0,0,"car",10.0951331357497
79,"ce359c2b8ea14cbb828521ca78733cad",19.5736293363554,3.36830560707857,0,0,"car",3.33855060108651
79,"136cbc143e3142a18c88ee0e60eadc72",12.3666228976907,3.24712884161697,0,0,"car",3.24839581894737
79,"af40da57169749d587e242639dd2e390",8.94728825996647,3.0016623885911,2.87010033980968,0.00413667728243236,"car",2.61513307882964
80,"2e2208a908f042bcb021c30cc55c113c",39.602438961208,-4.46883356319766,0,0,"car",-3.54383428134435
80,"83be8b5746804e01902797d4c2fa06a7",34.0131862529122,-4.68134912845433,0,0,"car",-3.81387704455696
80,"ff3415fdc94a49b28c6a0102f0166b31",26.5933453395307,-4.20622314212742,0,0,"car",-3.52421960172761
80,"f9a7df752bca48688b1f3990f47d018f",26.4390900119059,-4.23028451215465,0,0,"car",-3.75727473641702
80,"469a12bbf8cc4764897d885cb8a02ead",26.871606731629,-4.1868379467596,0,0,"car",-3.82203002153064
80,"a5233bd7e2c34d4f877dda298f7e8abb",0.113035095303697,3.55897046867692,2.22264248418867,0.0617927232709926,"car",3.55063705938103
80,"5a4a4716072a4a43892f70734224d5e1",35.2098639355685,-4.15633893361943,0,0,"car",-3.88291647772614
80,"9f0b560d7a7a44dca47fc5a7700ffaa5",28.3831661150537,-3.99115410728524,0,0,"car",-3.71868948872736
81,"2e8c095f1be741c79a3ecaa0d0447b9b",22.0196043630706,-3.34668951900234,0,0,"car",-3.65037312743835
81,"f6049c699428429ebd95652681f83fdd",17.077551168949,4.27000313712326,0,0,"car",1.22209286900798
81,"bba914e1b38143d18346f0dfe9751b90",1.1034871821757,3.83424827154861,6.46057172151721,0.065675739184233,"car",-9.61663270453125
81,"df93532381c7409abca8b75dd4628cd7",0.273843405190091,4.15559325653615,6.46700326596294,-0.0413411077236913,"car",-0.636422280741381
82,"b7b2cf1e7e214595bdf0d9b3dc59e471",8.35068326586284,-3.66633016330505,0,0,"truck",-3.66645644501411
82,"fce66059186b47bda4a1de86ac2a8d16",34.0309189956379,6.9563818184833,2.7726228586717,-3.8085143065538,"car",-4.81435397604982
82,"d506beca4485449898b377928a948182",34.0083366855779,7.82663088315513,2.97971788637493,-4.76252429073549,"car",-7.01311347462271
83,"c857aea77f814fd88f1f915f53053e7e",8.68202240826969,-3.59460946570808,0,0,"truck",-3.509834270482
86,"b129eb9f43b14a788ef35ead8b1844dc",15.6080389252545,-3.15701747603882,0,0,"car",-3.25854408055503
86,"f78d56edde354793ad7dd15af105d249",0.0494718288673804,-4.77106702776868,0,0,"car",-5.38612714505933
86,"004c3513f3cc4952b88e98b2948a98af",0.507592186757601,7.25092946347019,0,0,"car",7.40649624719727
